All event log messages.
Date:	2014-08-19 10:18:08
System Name:	2600-501273
Controller Name:	
Controller Id	2600-501273

RobotWare:	5.15.5001
Key:	ec2222Bz6xD9A22I22Y422h22Go23z
Options:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-2 German
		709-x DeviceNet
			709-2/709-5 Master/Slave Dual
			608-1 World Zones
			611-1 Path Recovery
			613-1 Collision Detection
			812-1 Production Manager
			633-1 Arc
				650-x Power source type
					External option loaded Welder
					652-1 BullsEye
					653-x Torch Service
						653-2 Binzel - TC97

DriveModule1
Key:	Mxth-XqT01hhjhRhK
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 2600
			2600ID-8/2.00
				No motor fan
				Drive System 09 2600/4400/6400R
					No additional drive

AW-MILLER-AA-007
	Key:	07PPWQPPPPO-.PFlVhgF5E-1b
Options:	

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
45650     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:42:55 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45651     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:42:56 	The system is in the Motors ON state.	{args: }
45652     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:43:00 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45653     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:43:03 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45654     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:43:04 	The system is in the Motors ON state.	{args: }
45655     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:43:07 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45656     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:43:08 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45657     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:43:09 	The system is in the Motors ON state.	{args: }
45658     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:43:14 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45659     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:43:21 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45660     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:43:21 	The system is in the Motors ON state.	{args: }
45661     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:43:25 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45662     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:43:33 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45663     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:43:34 	The system is in the Motors ON state.	{args: }
45664     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:43:42 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45665     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:43:56 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45666     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:43:57 	The system is in the Motors ON state.	{args: }
45667     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:44:03 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45668     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:44:40 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45669     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:45:21 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45670     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:45:52 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45671     	I   	Operational         	10045   	System restarted                        	2014-08-18 13:47:31 	An already installed system was restarted. 	{args: }
45672     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:48:01 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45673     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 13:48:01 	The system is in the Manual mode.	{args: }
45674     	I   	Operational         	10155   	Program restarted                       	2014-08-18 13:48:01 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB1"}
45675     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:48:01 	The program pointer of task tAwSys_1 has been reset.	{args: "2", "0", "tAwSys_1"}
45676     	I   	Operational         	10150   	Program started                         	2014-08-18 13:48:01 	Execution of task tAwSys_1 has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "tAwSys_1"}
45677     	W   	Process             	111717  	Torch Services Warning                  	2014-08-18 13:48:02 	Torch services MechClean has unconfigured IO.	{args: }
45678     	W   	Process             	111715  	Torch Services Warning                  	2014-08-18 13:48:02 	Torch services Spray has unconfigured IO.	{args: }
45679     	I   	Operational         	10129   	Program stopped                         	2014-08-18 13:48:02 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "1", "T_ROB1"}
45680     	I   	Process             	110460  	Weld Error Recovery                     	2014-08-18 13:48:05 	PROC Parameters was loaded by tAwSys_1Configuration of Weld Error Recovery is Complete.	{args: "tAwSys_1", "/arcDispatcher/main/main/0", " "}
45681     	I   	User                	80003   	awEqMillerAa July 23 2012               	2014-08-18 13:48:05 		{args: "awEqMillerAa July 23 2012"}
45682     	I   	User                	80003   	awEqMillerAa July 23 2012               	2014-08-18 13:48:08 		{args: "awEqMillerAa July 23 2012"}
45683     	I   	Process             	110460  	Weld Error Recovery                     	2014-08-18 13:48:10 	PROC Parameters was loaded by tAwSys_1Configuration of Weld Error Recovery is Complete.	{args: "tAwSys_1", "/arcDispatcher/main/main/0", " "}
45684     	I   	Process             	110466  	RW Arc Installation                     	2014-08-18 13:48:10 	Weld System 1 (of 1 installed) started in task tAwSys_1Active EquipmentClass awEqMillerAaStatus OK	{args: "tAwSys_1", "/arcDispatcher/main/main/0", "1", "1", "awEqMillerAa"}
45685     	W   	User                	80002   	T_ROB1 Active                           	2014-08-18 13:48:15 		{args: "T_ROB1 Active"}
45686     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:49:38 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45687     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 13:49:44 	The system has been ordered to go to the Automatic mode.	{args: }
45688     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:49:45 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45689     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 13:49:49 	The system is in the Automatic mode.	{args: }
45690     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:49:52 	The system is in the Motors ON state.	{args: }
45691     	I   	Operational         	10052   	Regain start                            	2014-08-18 13:51:57 	A regain movement has started.	{args: "0"}
45692     	I   	Operational         	10053   	Regain ready                            	2014-08-18 13:51:57 	The regain movement is ready.	{args: "0"}
45693     	I   	Operational         	10151   	Program started                         	2014-08-18 13:51:57 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45694     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 13:55:41 	The system is in the Manual mode.	{args: }
45695     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:55:41 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45696     	I   	Operational         	10125   	Program stopped                         	2014-08-18 13:55:42 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45697     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:55:43 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45698     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:55:44 	The system is in the Motors ON state.	{args: }
45699     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:55:52 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45700     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 13:56:38 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45701     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 13:56:51 	The system has been ordered to go to the Automatic mode.	{args: }
45702     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 13:56:51 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45703     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 13:57:08 	The system is in the Automatic mode.	{args: }
45704     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 13:57:14 	The system is in the Motors ON state.	{args: }
45705     	I   	Operational         	10052   	Regain start                            	2014-08-18 13:57:21 	A regain movement has started.	{args: "0"}
45706     	I   	Operational         	10053   	Regain ready                            	2014-08-18 13:57:21 	The regain movement is ready.	{args: "0"}
45707     	I   	Operational         	10151   	Program started                         	2014-08-18 13:57:21 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45708     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 13:58:46 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45709     	I   	Operational         	10013   	Emergency stop state                    	2014-08-18 13:58:46 	The system is in the Emergency stop state, since the Motors ON circuit has been opened by an Emergency Stop device. 	{args: }
45710     	I   	Operational         	10125   	Program stopped                         	2014-08-18 13:58:46 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45711     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:00:44 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "120"}
45712     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:00:44 	The system is in the Manual mode.	{args: }
45713     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:00:57 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45714     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:00:57 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45715     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:02 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45716     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:03 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45717     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:13 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45718     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:13 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45719     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:16 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45720     	E   	System              	20010   	Emergency stop state                    	2014-08-18 14:01:16 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45721     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:01:20 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45722     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:01:24 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45723     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:01:25 	The system is in the Motors ON state.	{args: }
45724     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:01:31 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45725     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:05:20 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45726     	E   	System              	20074   	Not allowed command                     	2014-08-18 14:05:26 	The command is not allowed in Guard Stop state.	{args: "142"}
45727     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:05:33 	The system has been ordered to go to the Automatic mode.	{args: }
45728     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:05:33 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45729     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:05:36 	The system is in the Automatic mode.	{args: }
45730     	E   	System              	20072   	Not allowed command                     	2014-08-18 14:05:42 	The command is not allowed in Motors OFF state.	{args: "142"}
45731     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:05:53 	The system is in the Motors ON state.	{args: }
45732     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:06:00 	A regain movement has started.	{args: "0"}
45733     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:06:00 	The regain movement is ready.	{args: "0"}
45734     	I   	Operational         	10151   	Program started                         	2014-08-18 14:06:00 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45735     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:07:26 	The system is in the Manual mode.	{args: }
45736     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:07:26 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45737     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:07:26 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45738     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:07:39 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45739     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:07:45 	The system has been ordered to go to the Automatic mode.	{args: }
45740     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:07:45 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45741     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:07:49 	The system is in the Automatic mode.	{args: }
45742     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:07:52 	The system is in the Motors ON state.	{args: }
45743     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:07:56 	A regain movement has started.	{args: "0"}
45744     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:07:56 	The regain movement is ready.	{args: "0"}
45745     	I   	Operational         	10151   	Program started                         	2014-08-18 14:07:56 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45746     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:11:41 	The system is in the Manual mode.	{args: }
45747     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:11:41 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45748     	E   	System              	20212   	Two channel fault, RUN CHAIN            	2014-08-18 14:11:41 	Only one of the two RUN chains was closed.	{args: }
45749     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:11:41 	The system has been ordered to go to the Automatic mode.	{args: }
45750     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:11:41 	The system is in the Manual mode.	{args: }
45751     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:11:41 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45752     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:12:13 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45753     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:12:13 	The system is in the Motors ON state.	{args: }
45754     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:12:15 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45755     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:12:17 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45756     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:12:18 	The system is in the Motors ON state.	{args: }
45757     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:12:19 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45758     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:12:43 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45759     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:12:52 	The system has been ordered to go to the Automatic mode.	{args: }
45760     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:12:52 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45761     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:12:54 	The system is in the Automatic mode.	{args: }
45762     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:12:57 	The system is in the Motors ON state.	{args: }
45763     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:13:03 	A regain movement has started.	{args: "0"}
45764     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:13:03 	The regain movement is ready.	{args: "0"}
45765     	I   	Operational         	10151   	Program started                         	2014-08-18 14:13:03 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45766     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:20:32 	The system is in the Manual mode.	{args: }
45767     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:20:32 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45768     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:20:32 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45769     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:21:07 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45770     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:21:59 	The system has been ordered to go to the Automatic mode.	{args: }
45771     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:22:00 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45772     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:22:04 	The system is in the Automatic mode.	{args: }
45773     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:23:36 	The system is in the Motors ON state.	{args: }
45774     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:23:43 	A regain movement has started.	{args: "0"}
45775     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:23:43 	The regain movement is ready.	{args: "0"}
45776     	I   	Operational         	10151   	Program started                         	2014-08-18 14:23:43 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45777     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:24:44 	The system is in the Manual mode.	{args: }
45778     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:24:44 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45779     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:24:44 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45780     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:24:58 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45781     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:25:02 	The system has been ordered to go to the Automatic mode.	{args: }
45782     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:25:03 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45783     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:25:06 	The system is in the Automatic mode.	{args: }
45784     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:25:08 	The system is in the Motors ON state.	{args: }
45785     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:25:12 	A regain movement has started.	{args: "0"}
45786     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:25:12 	The regain movement is ready.	{args: "0"}
45787     	I   	Operational         	10151   	Program started                         	2014-08-18 14:25:12 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45788     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:29:38 	The system is in the Manual mode.	{args: }
45789     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:29:38 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45790     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:29:38 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45791     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:29:57 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45792     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:30:36 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45793     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:30:42 	The system has been ordered to go to the Automatic mode.	{args: }
45794     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:30:42 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45795     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:30:50 	The system is in the Automatic mode.	{args: }
45796     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:30:52 	The system is in the Manual mode.	{args: }
45797     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:30:52 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45798     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:31:18 	The system has been ordered to go to the Automatic mode.	{args: }
45799     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:31:19 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45800     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:31:21 	The system is in the Automatic mode.	{args: }
45801     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 14:32:35 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45802     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:34:46 	The system is in the Manual mode.	{args: }
45803     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:34:46 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45804     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:34:47 	The system has been ordered to go to the Automatic mode.	{args: }
45805     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:34:48 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45806     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:34:50 	The system is in the Automatic mode.	{args: }
45807     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:34:51 	The system is in the Motors ON state.	{args: }
45808     	I   	Operational         	10052   	Regain start                            	2014-08-18 14:34:53 	A regain movement has started.	{args: "0"}
45809     	I   	Operational         	10053   	Regain ready                            	2014-08-18 14:34:53 	The regain movement is ready.	{args: "0"}
45810     	I   	Operational         	10151   	Program started                         	2014-08-18 14:34:53 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
45811     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 14:36:59 	The system is in the Manual mode.	{args: }
45812     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 14:36:59 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45813     	I   	Operational         	10125   	Program stopped                         	2014-08-18 14:36:59 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
45814     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 14:38:32 	The system has been ordered to go to the Automatic mode.	{args: }
45815     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 14:38:32 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45816     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 14:38:35 	The system is in the Automatic mode.	{args: }
45817     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 14:38:36 	The system is in the Motors ON state.	{args: }
